Year,Month,Day,期望输出
1889,7,10,年的值不在指定范围内
1900,7,10,1900 07 11
1901,7,10,1901 07 11
2049,7,10,2049 07 11
2050,7,10,2050 07 11
2051,7,10,年的值不在指定范围内
2019,0,10,月的值不在指定范围内
2019,1,10,2019 01 11
2019,2,10,2019 02 11
2019,11,10,2019 11 11
2019,12,10,2019 12 11
2019,13,10,月的值不在指定范围内
2019,2,27,2019 02 28
2019,2,28,2019 03 01
2019,2,29,日的值不在指定范围内
2020,2,28,2020 02 29
2020,2,29,2020 03 01
2020,2,30,日的值不在指定范围内
2019,1,30,2019 01 31
2019,1,31,2019 02 01
2019,1,32,日的值不在指定范围内
2019,4,30,2019 05 01
2019,4,31,日的值不在指定范围内
2019,4,32,日的值不在指定范围内
